avahi,0.8%2B22%2Bgfd482a7-3,3,avahi-0.8%2B22%2Bgfd482a7-3-x86_64.chi.zst,a/avahi-0.8%2B22%2Bgfd482a7-3-x86_64.chi.zst,avahi-0.8%2B22%2Bgfd482a7-3,518214
avfs,1.1.4-2,2,avfs-1.1.4-2-x86_64.chi.zst,a/avfs-1.1.4-2-x86_64.chi.zst,avfs-1.1.4-2,240624
avr-binutils,2.34-2,2,avr-binutils-2.34-2-x86_64.chi.zst,a/avr-binutils-2.34-2-x86_64.chi.zst,avr-binutils-2.34-2,2260022
avr-gcc,10.1.0-1,1,avr-gcc-10.1.0-1-x86_64.chi.zst,a/avr-gcc-10.1.0-1-x86_64.chi.zst,avr-gcc-10.1.0-1,33471440
avr-libc,2.0.0-3,3,avr-libc-2.0.0-3-any.chi.zst,a/avr-libc-2.0.0-3-any.chi.zst,avr-libc-2.0.0-3,1873658
avrdude,1%3A6.4-1,1,avrdude-1%3A6.4-1-x86_64.chi.zst,a/avrdude-1%3A6.4-1-x86_64.chi.zst,avrdude-1%3A6.4-1,357697
awesome-terminal-fonts,1.1.0-4,4,awesome-terminal-fonts-1.1.0-4-any.chi.zst,a/awesome-terminal-fonts-1.1.0-4-any.chi.zst,awesome-terminal-fonts-1.1.0-4,218130
axiomd,1.0.0-1,1,axiomd-1.0.0-1-any.chi.zst,a/axiomd-1.0.0-1-any.chi.zst,axiomd-1.0.0-1,58416
b43-fwcutter,019-3,3,b43-fwcutter-019-3-x86_64.chi.zst,b/b43-fwcutter-019-3-x86_64.chi.zst,b43-fwcutter-019-3,18346
babl,0.1.98-1,1,babl-0.1.98-1-x86_64.chi.zst,b/babl-0.1.98-1-x86_64.chi.zst,babl-0.1.98-1,559593
balena-etcher,2%3A1.7.9-1,1,balena-etcher-2%3A1.7.9-1-x86_64.chi.zst,b/balena-etcher-2%3A1.7.9-1-x86_64.chi.zst,balena-etcher-2%3A1.7.9-1,16093288
baloo,5.103.0-1,1,baloo-5.103.0-1-x86_64.chi.zst,b/baloo-5.103.0-1-x86_64.chi.zst,baloo-5.103.0-1,669890
baloo-widgets,22.08.3-1,1,baloo-widgets-22.08.3-1-x86_64.chi.zst,b/baloo-widgets-22.08.3-1-x86_64.chi.zst,baloo-widgets-22.08.3-1,124706
balsa,2.6.1-2,2,balsa-2.6.1-2-x86_64.chi.zst,b/balsa-2.6.1-2-x86_64.chi.zst,balsa-2.6.1-2,3540172
bamf,0.5.6-1,1,bamf-0.5.6-1-x86_64.chi.zst,b/bamf-0.5.6-1-x86_64.chi.zst,bamf-0.5.6-1,200516
bandwhich,0.20.0-1,1,bandwhich-0.20.0-1-x86_64.chi.zst,b/bandwhich-0.20.0-1-x86_64.chi.zst,bandwhich-0.20.0-1,1036955
baobab,43.0-1,1,baobab-43.0-1-x86_64.chi.zst,b/baobab-43.0-1-x86_64.chi.zst,baobab-43.0-1,371199
base,3-1,1,base-3-1-any.chi.zst,b/base-3-1-any.chi.zst,base-3-1,590
bash,5.1.016-3,3,bash-5.1.016-3-x86_64.chi.zst,b/bash-5.1.016-3-x86_64.chi.zst,bash-5.1.016-3,2196640
bash-completion,2.11-3,3,bash-completion-2.11-3-any.chi.zst,b/bash-completion-2.11-3-any.chi.zst,bash-completion-2.11-3,201410
bashish,2.2.4-2,2,bashish-2.2.4-2-x86_64.chi.zst,b/bashish-2.2.4-2-x86_64.chi.zst,bashish-2.2.4-2,164271
bashtop,0.9.25-1,1,bashtop-0.9.25-1-any.chi.zst,b/bashtop-0.9.25-1-any.chi.zst,bashtop-0.9.25-1,56145
bat,0.22.1-1,1,bat-0.22.1-1-x86_64.chi.zst,b/bat-0.22.1-1-x86_64.chi.zst,bat-0.22.1-1,2347109
bazel,6.0.0-2,2,bazel-6.0.0-2-x86_64.chi.zst,b/bazel-6.0.0-2-x86_64.chi.zst,bazel-6.0.0-2,86948564
bc,1.07.1-4,4,bc-1.07.1-4-x86_64.chi.zst,b/bc-1.07.1-4-x86_64.chi.zst,bc-1.07.1-4,95873
bcc,0.24.0-1,1,bcc-0.24.0-1-x86_64.chi.zst,b/bcc-0.24.0-1-x86_64.chi.zst,bcc-0.24.0-1,1592224
